geneID	flhDCn	flhDCp
b3861	7.750797569	9.857742207
b2614	2183.067498	2200.857016
b1841	222.2503556	173.5827259
b3947	2.089847628	7.947628425
b3048	6.843782707	10.69212908
b3592	162.0909405	133.3980871
b0802	336.3235245	661.594976
b2034	66.69833941	60.7600472
b0231	20.10614769	19.31329285
b4126	37.03989681	12.50765632
b2982	0.15579985	0
b4137	62.16414015	67.68198203
b4643	21.12645966	33.99139542
b3872	17.828236	12.66908549
b4669	0	0
b1927	165.6893711	220.0988541
b0805	6.593343192	9.380017132
b4615	1.443721617	5.032894538
b2292	67.85708197	50.16187922
b3448	852.244257	732.2409444
b3295	3842.454875	4362.572426
b1670	5.241297244	27.24501159
b0565	378.5157356	185.6343502
b4656	126.2730922	426.5203831
b0274	0	0
b2831	18.14119906	35.46928218
b1155	0	0
b3654	23.90386061	22.46557743
b3539	26.65720735	95.6676066
b1944	152.6557085	947.0075863
b3906	7.651809594	44.84141681
b2255	0	0
b0706	0.207937595	0.669121957
b4212	62.79715371	66.91219571
b0265	0	3.694716893
b1423	62.83707031	29.97009194
b3734	1194.42591	745.7385908
b2162	2.01845156	7.758121035
b4041	135.1125994	117.3011645
b4475	39.10576235	73.02969419
b2938	366.9079375	286.7003129
b4052	101.7158466	93.2602904
b0776	5.624576922	2.501531265
b0647	1.141970792	0
b0970	2520.770755	2656.994075
b0477	40.67450567	51.44291644
b0199	52.96968447	62.58105746
b1009	0.197813293	3.394895922
b0615	0.620150479	0.776059256
b1298	18.64099382	20.21710446
b1790	14.84249447	26.67208035
b2660	89.40038485	47.14330649
b1479	687.8230307	458.5235053
b4026	326.6776633	196.5346114
b4399	15.45567312	68.45986305
b0320	1.944780686	1.097913289
b3215	0.704215322	2.266093028
b4474	7.626880744	12.47578292
b0097	190.5705499	271.9974234
b2248	1.416525073	3.255880787
b3169	283.6738333	296.5109627
b0962	64.9985602	149.3636499
b1701	1.924085579	3.611714753
b1978	5.709248848	10.32662147
b2894	90.7943166	310.924637
b0847	28.47561066	32.15674715
b3757	0	0
b2533	132.8286736	159.5989026
b1316	2.584917353	7.493693875
b3027	5.234032799	20.92563382
b2241	258.5365091	98.80249067
b2905	75.10022304	76.51944265
b1718	4112.072784	3929.355231
b3595	3.353406295	3.237275754
b0204	0	0
b1025	21.56950903	15.88266085
b2956	5.030109443	29.67502775
b2601	56.95859222	49.82865622
b2659	97.20763647	38.0578507
b1567	2.597515532	136.5228177
b3670	70.78452979	50.22783515
b2212	15.82050551	21.6688619
b2302	84.35912712	55.60320855
b4673	0	0
b3056	219.3212973	167.8993866
b3855	0	0
b0482	217.2437833	110.5254807
b3923	174.3302266	745.5921466
b3864	75.59008502	102.9097292
b3239	293.1006079	208.5552649
b2429	14.34375419	8.587299895
b4391	397.2610355	227.8320149
b0106	5.531865996	19.21375635
b4057	172.6511094	131.39531
b0420	84.62490886	111.1151895
b0873	2.971507484	2.981701352
b3559	347.0556815	193.3568507
b0620	7.91078886	11.23063725
b2921	4.416065982	4.926289191
b0909	9.941863369	13.77429095
b2469	23.38069389	23.9798204
b1144	0	0
b3352	66.14436234	75.74362668
b3224	98.40594389	123.1076695
b4243	524.0672164	298.1932492
b0516	5.255976008	4.125169347
b3421	16.52925939	29.22650543
b1805	58.64284176	57.2571548
b4230	3.551963247	9.773354433
b2850	1.616820892	1.040552921
b0468	101.8597162	382.6280093
b0325	0	0
b1519	98.11695692	52.39780321
b4032	180.6774665	82.5941314
b3310	2172.703039	2368.432713
b3084	49.47159089	62.03354925
b1557	15134.76096	14823.23839
b4050	499.4712376	628.0714627
b3237	250.9608106	203.1545183
b2088	0	0
b2345	8.827628328	10.11075501
b4191	32.48612349	30.57427101
b4244	8.917012194	18.39361224
b0440	1796.909866	1378.332408
b2958	133.1407093	148.2402522
b4631	54.04443169	73.779773
b1494	3.2868419	13.67679537
b4236	131.1745344	184.8166035
b3006	625.170745	555.1927918
b2445	0.429399587	1.381764041
b3700	59.15998829	59.50076665
b0968	183.4367331	96.24803721
b2834	249.773201	150.0388683
b3107	381.2365675	288.4118399
b0523	31.06832303	38.99013004
b4497	2.40757375	70.04874459
b2774	1.8142952	4.973295767
b1640	44.96509995	67.67656205
b2409	8.717228501	14.85060965
b4536	248.235901	135.2574276
b3792	45.84999039	53.39176019
b2263	0	0
b0295	22.93332792	20.12648413
b4073	2.980221582	11.18839034
b0458	396.9621401	466.2089478
b4310	21.46997933	19.34469658
b1499	1.039687975	1.561284566
b1684	150.2898553	63.5611459
b3603	140.6517015	138.6545145
b3465	70.59847072	67.18567269
b0059	1.635174896	2.630912958
b1334	389.9136429	394.9863345
b4225	24.8281043	27.11564307
b3798	0	0
b1851	90.06727421	73.81685484
b0352	0	0
b1749	56.93934295	110.9880135
b1540	101.7114488	133.590637
b3508	18.58345989	8.655216426
b0039	51.84577371	59.03142599
b4074	5.443979207	8.707861997
b1818	250.2338153	166.7742622
b4490	10.49959592	11.26220933
b1609	298.0339845	277.64861
b0358	16.99124178	67.41187593
b1942	16.77269601	142.3963862
b2915	8.3913508	22.23736149
b1108	256.4938956	244.7630867
b1136	354.0075225	364.2323386
b0559	49.7543434	153.5360131
b1203	66.74568299	57.11924047
b2790	140.8430644	113.6823336
b3231	3404.61023	2864.309894
b1257	182.2000885	50.28312932
b2845	41.22236031	17.68657973
b2567	174.5026954	108.0636873
b4293	176.0538305	214.888132
b3623	102.3866132	92.89082454
b2384	3.205604428	12.77133354
b1451	21.32235408	29.65963414
b0263	2.276558153	0.976764236
b2480	365.3397323	295.8911278
b1545	0	0
b0631	468.7433237	519.5275777
b4554	3277.619313	1626.731066
b1521	19.75149379	81.34993049
b2348	14.78852176	6.798279084
b3297	1462.601053	1473.396255
b1931	13.0264045	10.66994475
b3247	108.2192117	91.33742306
b2859	0.794227807	1.703829344
b1812	7.678118599	19.09208333
b0790	157.6166971	61.11313874
b3457	11.96482343	35.01810423
b1024	7.647882983	7.922911886
