geneID	flhDCn	flhDCp
b2913	650	491
b3405	1719	1456
b2267	0	0
b4203	4624	4633
b2721	29	42
b3584	51	55
b0259	4	1
b3214	55	58
b0456	28	38
b2848	53	24
b0979	57	281
b0276	469	582
b4387	113	81
b3907	71	84
b3359	293	355
b4266	16	14
b2722	14	25
b3626	590	485
b4134	7	8
b1657	170	388
b2755	60	258
b1909	4	3
b2509	475	321
b2242	470	271
b0970	10500	10318
b2984	10	9
b3150	756	766
b2089	9	11
b1619	2762	1115
b3348	349	398
b2976	1414	1497
b2492	28	62
b3744	1631	941
b2085	22	18
b3562	52	48
b1039	0	2
b3379	12	20
b3662	214	285
b4410	7	5
b1188	2466	879
b4278	163	184
b4369	0	0
b3201	427	559
b3350	728	1783
b4586	5	8
b2280	500	235
b0771	46	118
b0483	1141	415
b0154	7966	5545
b2550	130	239
b0237	2335	1748
b1006	94	147
b2390	936	382
b0238	241	221
b1759	49	94
b0488	308	175
b3305	6232	5750
b4628	0	0
b2464	1882	795
b3135	110	122
b4252	426	455
b2224	50	93
b3643	1499	1553
b0618	2	4
b0985	1	4
b1475	52	55
b1249	692	381
b2007	3956	4048
b2507	1863	1562
b4356	0	0
b0579	57	27
b1976	859	389
b3740	360	538
b3098	972	620
b3988	18762	15125
b2198	3	1
b2702	281	281
b1867	121	113
b2799	263	729
b2060	77	32
b1873	7	16
b3592	623	478
b0377	179	4959
b2435	614	1160
b0639	109	105
b1743	5591	2026
b1693	108	94
b4217	13758	7966
b2876	93	83
b1659	219	318
b0072	0	0
b4409	0	0
b0984	29	22
b2091	139	126
b3481	74	66
b2315	373	363
b2565	78	55
b2348	7	3
b0898	134	200
b0235	1	2
b4251	60	104
b1363	222	344
b1533	167	121
b3095	1994	1994
b1238	212	545
b4277	11	21
b3088	710	758
b1511	139	101
b4212	151	150
b2214	86	156
b2173	174	113
b1198	389	318
b0142	21	18
b3039	118	1659
b4380	317	138
b2256	0	0
b1178	361	189
b0886	511	668
b2784	336	390
b3937	275	277
b0571	151	123
b2035	466	290
b4305	66	74
b3953	17	143
b1604	333	478
b2162	12	43
b1058	0	3
b2164	107	429
b3729	5759	4246
b4353	0	0
b3084	355	415
b1876	799	642
b0633	686	1680
b2350	117	81
b3981	2962	2030
b3445	0	0
b2650	43	54
b2745	732	596
b4708	9	14
b1639	146	79
b3100	2571	1530
b3325	47	84
b2521	1140	568
b3645	123	99
b2009	626	246
b3670	130	86
b2853	38	26
b0131	2233	1382
b0345	12053	11229
b1153	0	0
b4232	628	970
b0163	1541	464
b3376	119	160
b3659	44	51
b1852	714	10897
b3640	412	319
b2504	406	493
b1972	65	76
b3414	1337	1354
b1546	0	0
b0495	782	790
b4697	0	0
b0361	0	0
b0409	2183	1773
b2286	2382	982
b2698	39	35
b3529	647	549
b2496	497	514
b3194	1600	1390
b0145	10255	8011
b2844	686	650
b4138	2504	1472
b0296	22	8
b2450	164	130
b3164	7129	4923
b1524	139	964
b3551	862	1396
b2703	214	196
b0070	0	0
b2877	160	67
b2530	651	821
b0823	91	147
b0022	12	7
b2281	451	245
b2958	605	628
b0383	125	86
b3865	1597	1174
b3255	1083	545
b4018	1113	867
b2351	416	262
b3176	2093	1636
b4005	383	305
b0212	270	315
b2741	5485	3276
b4714	1	4
b2169	26256	14583
b4589	2	27
b3291	1746	1444
b2723	44	77
b0192	914	619
b4128	43	25
b0443	411	230
b2453	14	63
b1747	367	166
b3195	4637	4366
b2687	5587	4756
b4126	54	17
b1527	3	5
b3120	9	6
b4261	870	631
b2811	444	718
b0757	437	454
b0299	1	0
b1629	248	210
b3159	131	148
b3813	1826	2466
b0024	71	71
b2460	4	13
b3470	397	370
b0693	14	57
b2555	107	99
b1920	1267	2965
b1089	2270	1081
b4469	617	538
b3735	1704	846
b4533	0	0
b4156	77	148
b3486	548	396
b1904	134	10322
b2591	2	0
b0458	1180	1292
b2296	1449	1213
b3507	23	16
b2747	141	152
b4355	0	0
b4585	20	102
b2065	1361	1191
b4185	3	49
b4112	190	180
b3040	914	831
b3985	15121	11584
b4701	4	1
b3280	160	182
b0141	10	1
b2964	436	549
b1080	316	2671
b1628	167	135
b0157	99	210
b4148	684	553
b1399	445	292
b3488	103	196
b1709	203	116
b2039	343	279
b4019	1870	1129
b1253	159	170
b3014	8	12
b1488	25	48
b3881	13	19
b4249	47	47
b1633	157	171
b3685	719	2976
b4296	38	27
b2107	363	174
b2979	690	747
b0850	84	335
b3221	347	413
b3076	155	160
b3644	1766	1362
b4512	1097	877
b2377	496	334
b2461	2	5
b3170	771	899
b2096	15641	11283
b3332	7	9
b4477	31	45
b1505	48	26
b4484	19216	17704
b1712	5469	4808
b1518	10	15
b0760	398	379
b0468	243	851
b4346	0	0
b0473	2163	1800
b2561	295	199
b0658	859	505
b0565	2279	1042
b2738	21	38
b4462	33	21
b3299	1894	2466
b1831	1648	947
b0478	2230	1250
b3545	4	6
b0284	503	150
b0607	1633	934
b3344	24	22
b3932	936	958
b2908	1364	1061
b3029	3687	2294
b0509	18	85
b4263	844	568
b4700	3	12
b0520	11	54
b0573	0	3
b3703	2983	2580
b1377	7	20
b1103	738	591
b2067	979	779
b3964	3213	3258
b3421	128	211
b4704	412	73
b3024	10236	5051
b1203	460	367
b1278	455	325
b3025	107	125
b2789	76	45
b1179	248	281
b3440	793	477
b0265	0	6
b2249	766	669
b2474	483	3179
b0743	493	470
b3083	25	31
b3281	355	320
b0719	6	16
b4647	2	0
b3700	401	376
b2204	206	98
b1956	499	1520
b1725	1426	748
b1192	245	276
b2300	429	1100
b2306	99	180
b2826	13	15
b3491	184	89
b4076	11	20
b4433	97	41
b1126	268	157
b3567	20	24
b3250	936	786
b2957	924	631
b0718	9	15
b2232	558	1264
b1539	1868	3392
b1589	12	33
b3812	136	57
b4205	3	7
b3031	318	265
