#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
araF	araG	511145.b1901	511145.b1900	0.739	0	0.303	0	0.569	0.111	0.800	0.734	0.995
araG	araF	511145.b1900	511145.b1901	0.739	0	0.303	0	0.569	0.111	0.800	0.734	0.995
atoC	cheA	511145.b2220	511145.b1888	0.204	0	0	0	0.075	0.177	0	0.278	0.503
atoC	atoS	511145.b2220	511145.b2219	0.848	0.102	0.518	0	0.360	0.324	0.900	0.988	0.999
atoS	atoC	511145.b2219	511145.b2220	0.848	0.102	0.518	0	0.360	0.324	0.900	0.988	0.999
baeR	cheY	511145.b2079	511145.b1882	0	0.002	0.303	0	0	0	0	0.266	0.467
baeR	baeS	511145.b2079	511145.b2078	0.888	0.096	0.774	0	0.122	0.580	0.900	0.981	0.999
baeR	creC	511145.b2079	511145.b4399	0.253	0.051	0.207	0	0.058	0.195	0	0.532	0.754
baeS	baeR	511145.b2078	511145.b2079	0.888	0.096	0.774	0	0.122	0.580	0.900	0.981	0.999
cbdB	cydD	511145.b0979	511145.b0887	0.099	0	0.644	0	0.059	0.095	0	0.268	0.763
cheA	flgN	511145.b1888	511145.b1070	0	0	0.174	0	0.747	0	0	0.047	0.783
cheA	flgM	511145.b1888	511145.b1071	0.382	0	0.245	0	0.750	0.332	0	0.755	0.977
cheA	flgA	511145.b1888	511145.b1072	0.358	0	0.239	0	0.372	0	0	0.749	0.912
cheA	flgB	511145.b1888	511145.b1073	0.384	0	0.381	0	0.552	0	0	0.597	0.921
cheA	flgC	511145.b1888	511145.b1074	0.384	0	0.474	0	0.606	0	0	0.719	0.959
cheA	flgD	511145.b1888	511145.b1075	0.384	0	0.446	0	0.704	0	0	0.638	0.958
cheA	flgE	511145.b1888	511145.b1076	0.384	0	0.548	0	0.600	0	0	0.801	0.974
cheA	flgF	511145.b1888	511145.b1077	0	0	0.477	0	0.507	0	0	0.320	0.809
cheA	flgG	511145.b1888	511145.b1078	0.378	0	0.456	0	0.640	0	0	0.306	0.904
cheA	flgH	511145.b1888	511145.b1079	0.342	0	0.331	0	0.467	0	0	0.357	0.828
cheA	flgI	511145.b1888	511145.b1080	0.342	0	0.245	0	0.299	0	0	0.294	0.721
cheA	flgK	511145.b1888	511145.b1082	0.384	0	0.428	0	0.785	0	0	0.530	0.959
cheA	flgL	511145.b1888	511145.b1083	0.310	0	0.409	0	0.811	0	0	0.623	0.967
cheA	trg	511145.b1888	511145.b1421	0.167	0	0.782	0	0.472	0.995	0.800	0.264	0.999
cheA	flhA	511145.b1888	511145.b1879	0.519	0	0.446	0	0.129	0	0	0.825	0.954
cheA	flhB	511145.b1888	511145.b1880	0.519	0	0.509	0	0.228	0	0	0.830	0.965
cheA	cheZ	511145.b1888	511145.b1881	0.605	0	0.510	0	0.849	0.999	0.720	0.993	0.999
cheA	cheY	511145.b1888	511145.b1882	0.568	0.878	0.545	0	0.833	0.999	0.800	0.996	0.999
cheA	cheB	511145.b1888	511145.b1883	0.612	0	0.783	0	0.782	0.999	0.800	0.997	0.999
cheA	cheR	511145.b1888	511145.b1884	0.612	0	0.783	0	0.820	0	0.720	0.993	0.999
cheA	tap	511145.b1888	511145.b1885	0.490	0	0.782	0	0.988	0.995	0.800	0.264	0.999
cheA	tar	511145.b1888	511145.b1886	0.555	0	0.783	0	0.935	0.999	0.800	0.831	0.999
cheA	cheW	511145.b1888	511145.b1887	0.865	0.701	0.783	0	0.973	0.999	0.800	0.997	0.999
cheA	atoC	511145.b1888	511145.b2220	0.204	0	0	0	0.075	0.177	0	0.278	0.503
cheA	fliY	511145.b1888	511145.b1920	0	0	0	0	0	0	0	0.561	0.561
cheA	fliJ	511145.b1888	511145.b1942	0.384	0	0.174	0	0.361	0	0	0.249	0.723
cheA	fliO	511145.b1888	511145.b1947	0.384	0	0.158	0	0.312	0	0	0.370	0.745
cheA	fliK	511145.b1888	511145.b1943	0.384	0	0.193	0	0.437	0	0	0.473	0.832
cheA	fliQ	511145.b1888	511145.b1949	0.384	0	0.370	0	0.200	0	0	0.549	0.841
cheA	fliE	511145.b1888	511145.b1937	0.384	0	0.239	0	0.177	0	0	0.676	0.858
cheA	fliR	511145.b1888	511145.b1950	0.384	0	0.476	0	0	0	0	0.629	0.869
cheA	fliP	511145.b1888	511145.b1948	0.384	0	0.431	0	0.200	0.093	0	0.578	0.873
cheA	fliT	511145.b1888	511145.b1926	0	0	0.192	0	0.712	0.557	0	0.078	0.892
cheA	fliH	511145.b1888	511145.b1940	0.384	0	0.246	0	0.457	0	0	0.629	0.894
cheA	fliI	511145.b1888	511145.b1941	0.384	0	0.441	0	0.368	0	0	0.690	0.923
cheA	fliF	511145.b1888	511145.b1938	0.384	0	0.402	0	0.393	0	0	0.747	0.935
cheA	fliS	511145.b1888	511145.b1925	0.383	0	0.311	0	0.816	0	0	0.760	0.978
cheA	fliG	511145.b1888	511145.b1939	0.384	0	0.584	0	0.504	0	0	0.857	0.979
cheA	fliA	511145.b1888	511145.b1922	0.384	0	0.346	0	0.716	0	0	0.856	0.981
cheA	fliN	511145.b1888	511145.b1946	0.384	0	0.527	0	0.490	0.093	0	0.884	0.981
cheA	fliD	511145.b1888	511145.b1924	0.382	0	0.385	0	0.854	0	0	0.812	0.988
cheA	fliC	511145.b1888	511145.b1923	0.310	0	0.458	0	0.812	0	0	0.866	0.989
cheA	motA	511145.b1888	511145.b1890	0.899	0	0.273	0	0.805	0	0	0.438	0.991
cheA	fliM	511145.b1888	511145.b1945	0.384	0	0.595	0	0.691	0	0	0.982	0.998
cheA	motB	511145.b1888	511145.b1889	0.899	0	0.289	0	0.957	0	0	0.919	0.999
cheB	flgN	511145.b1883	511145.b1070	0	0	0.155	0	0.535	0	0	0.078	0.606
cheB	flgM	511145.b1883	511145.b1071	0.115	0	0.178	0	0.551	0	0	0.538	0.829
